Id,Neg,Pos,Review
1,服務,,"服務態度 x
極差 x
。 x
預定 x
的 uj
房間 x
告訴 x
我 r
沒有 x
， x
說 v
要 v
加錢 x
升級 x
才 d
有 v
。 x
我 r
說 v
我 r
已經 x
用 p
信用卡 n
擔保 x
， x
服務員 x
很 zg
堅決 x
地 uv
說 v
沒有 x
收到 v
， x
沒 zg
錢 x
可以 c
走 v
。 x"
7,環境	服務,,"酒店 n
的 uj
服務 x
簡直 x
不好 d
程度 n
排 v
第一 m
！ x
我 r
第一天 m
住 v
1702 m
， x
房間 x
漏風 x
。 x
第二天 m
調整 x
到 v
1710 m
房間 x
！ x
這個 x
房間 x
的 uj
空調 x
是 v
壞 a
的 uj
！ x
半夜 m
給 p
凍醒 v
了 ul
。 x
第三天 m
調整 x
到 v
1107 m
房間 x
， x
明顯 x
比 p
1702 m
和 c
1710 m
房間 x
小 a
的 uj
很多 m
， x
而且 c
房間 x
不 d
能夠 x
上網 x
， x
我 r
已經 x
被 p
折磨 v
的 uj
沒有 x
力氣 x
在 p
調整 x
房間 x
了 ul
。 x
想 v
躺 v
在 p
床上 n
看看 v
電視 x
， x
我 r
的 uj
天 q
啊 y
！ x
看 v
不了 v
！ x
總之 x
我 r
對 p
這次 x
攜程 x
的 uj
服務 x
比較滿意 x
， x
對 p
該 r
遼寧省 x
瀋陽市 x
新湖 ns
城市 ns
酒店 n
提供 v
的 uj
客房 n
服務 x
是 v
特別 x
特別 x
特別 x
的 uj
不 a
滿意 x
！ x
我 r
希望 v
攜程 x
能夠 x
好好 d
考慮一下 x
自己 r
的 uj
加盟 ns
酒店 n
， x
總是 x
這樣 x
我們 x
還 x
怎麼 x
相信 v
攜程 x
這樣 x
的 uj
品牌 n
。 x
總體 x
來說 x
我 r
很 d
鬱悶 x
！ x
也 d
特別 x
的 uj
傷心 x
！ x"
8,環境	服務,,"入住 v
退房 v
慢 a
, x
電梯 x
慢 a
, x
超市 v
破 v
, x
房間 x
舊 x
, x
服務態度 x
差 a
! x"
9,,環境,"攜程 x
定 v
的 uj
不帶 n
早飯 x
， x
所以 c
不能 v
評價 x
吃 v
的 uj
。 x
總體 x
來說 x
裝修 x
不錯 x
， x
沒有 x
什麼 x
特別 x
大 a
的 uj
毛病 n
。 x
停車 x
先 d
收 v
20 m
快 a
一天 m
， x
最後 x
到 v
前台 n
報銷 x
。 x
空調 x
非常 d
足 a
， x
都 d
有點 x
過熱 x
了 ul
。 x
這個 x
價位 x
住 v
到 v
這樣 x
子 ng
的 uj
酒店 n
， x
非常 d
好 a
了 ul
。 x
感覺 x
比較 x
適合 x
家庭 n
出遊 x
。 x
上網 x
貴 a
的 uj
就是 d
不要 df
上網 x
了 ul
， x
比較 x
黑 a
。 x"
10,,環境	服務	餐廳,"酒店 n
服務 x
不錯 x
， x
環境 x
也 d
還 d
比較 x
好 a
！ x
特別 x
是 v
好像 v
是 v
48 m
樓 n
那個 x
旋轉 x
餐廳 x
滿 x
有 v
特色 n
， x
至少 d
我 r
覺得 x
住 v
這個 x
酒店 n
還 d
滿 a
滿意 x
！ x"
11,環境,,"在 p
長春 x
這樣 x
的 uj
房間 x
還好 x
, x
環境 x
也 d
還好 x
, x
就是 d
現在 x
氣溫 x
已經 x
在 p
零下 m
啦 y
, x
房間 x
的 uj
空調 x
還 x
沒有 x
暖風 x
, x
晚上 t
都 d
凍醒 v
了 ul
幾次 x
, x
感冒 v
啦 y
. m"
12,環境,,"交通不便 l
是 v
這個 x
地方 n
最最 d
令 v
我 r
失望 v
的 uj
地方 n
， x
住 v
了 ul
三天 m
， x
第一天 m
， x
打 v
不到 v
的士 n
， x
酒店 n
的 uj
司機 x
開了個 x
商務車 x
竟然 d
收 v
我 r
40 m
塊 q
去 v
一個 x
實際上 x
打車 x
只要 c
不到 v
20 m
塊 q
的 uj
地方 n
。 x
不是 c
錢 n
的 uj
問題 x
， x
而是 c
趁火打劫 i
的 uj
行為 n
實在 x
令 v
我 r
憤怒 x
。 x
房間 x
的 uj
第二個 x
晚上 t
， x
竟然 d
沒有 x
空調 x
， x
只 d
緩慢 x
吹風 x
。 x
而且 c
房間 x
的 uj
隔音 n
也 d
不怎麼樣 x
， x
白天 t
晚上 t
都 d
可以 c
聽到 x
KTV eng
和 c
夜總會 x
的 uj
歌聲 x
。 x
本來 x
酒店 n
的 uj
房間 x
設計 x
， x
和 c
格調 x
我 r
還 d
聽 v
喜歡 x
的 uj
， x
不過 x
經歷 x
以上 f
的 uj
， x
以後 x
真的 d
不敢恭維 x
。 x"
13,餐廳	服務	環境,,"建議 x
不要 df
入住 v
！ x
簡直 x
就是 d
2 x
星級 x
以下 f
的 uj
賓館 x
。 x
根本 a
體會 x
不到 v
啥 r
服務 x
。 x
只有 c
嘈雜 x
的 uj
人聲 x
。 x
整個 x
就是 d
接待 v
旅遊 x
會議 x
團隊 x
的 uj
只顧 x
賺錢 x
的 uj
賓館 x
。 x
早上 t
吃飯 x
更是 d
亂 zg
。 x
吃 v
個 q
飯 n
都 d
不安寧 x
。 x"
14,,環境	價格,"服務 x
很 zg
熱情 x
， x
房間 x
溫度 x
正好 a
， x
隔音 n
效果 n
好 a
， x
地理位置 n
優越 x
， x
性價比 x
高 a
， x
下次 t
來 v
還 d
住 v
這裡 r
！ x"
15,餐廳	交通,,"同樣 x
的 uj
房間 x
有 v
小 a
有 v
大 a
， x
地理位置 n
比較 x
偏遠 x
。 x
早飯 x
不是 c
自助餐 v
形式 n
的 uj
， x
採用 x
的 uj
是 v
套餐 n
形式 n
。 x
不 d
能夠 x
自己 r
選擇 x
的 uj
， x
套餐 n
之外 f
的 uj
要 v
自己 r
購買 x
的 uj
。 x
這個 x
很 d
不 d
方便 a
， x
本人 r
不是 c
很 zg
喜歡 x
。 x
賓館 x
反饋 x
2008 m
年 m
4 m
月 m
7 m
日 m
： x
非常 d
感謝您 x
光臨 x
我們 x
酒店 n
, x
也 d
感謝您 x
對 x
我們 x
酒店 n
的 uj
關注 x
和 c
提出 v
一些 m
問題 x
, x
酒店 n
同 p
一種 x
房間 x
大小 b
都 d
是 v
一樣 x
的 uj
. m
關於 x
同樣 x
的 uj
房間 x
有 v
小 a
有大 a
的 uj
問題 x
, x
是 v
在 p
客人 n
原訂 x
房型 n
不足 a
用 p
或 c
出現異常 x
問題 x
時 zg
, x
我們 x
酒店 n
為了 p
保障 v
預訂 x
客人 n
的 uj
房間 x
而 c
給予 x
客人 n
免費 x
升級 x
入住 v
所 c
產生 x
的 uj
情況 x
. x
酒店 n
早餐 n
是 v
套餐 n
形式 n
. x
共有 v
8 m
款 m
固定 a
中式 n
茶點 x
套餐 n
供 v
客人 n
選用 x
, x
套餐 n
之外 f
需 v
增加 v
其它 r
點心 x
客人 n
需 v
自已 d
購買 x
. m
給 p
您 r
造成 v
不便 c
我們 x
深表歉意 vn
! x
歡迎您 x
的 uj
再次 d
光臨 x
我們 x
酒店 n
! x"
16,餐廳	環境,,"借殼 n
原來 x
的 uj
天津 ns
樂園 x
賓館 x
現在 x
居然 d
是 v
「 x
4 x
」 x
星級 x
酒店 n
， x
環境 x
太亂 n
, x
和 c
演藝 x
場 q
在 p
一起 m
, x
像 v
娛樂場所 x
, x
不 d
像 v
賓館 x
, x
到處 x
是 v
穿著 n
睡衣 n
的 uj
人們 x
在 p
走動 x
， x
特別 x
是 v
早餐 n
， x
連 nr
2 m
星 n
的 uj
賓館 x
都 d
不如 c
； x
真不知道 i
那些 r
評論 x
星級 x
酒店 n
的 uj
官員 x
們 k
在 p
這裡 r
的 uj
洗浴 v
中心 n
享受 v
過 zg
什麼 x
特別 x
待遇 n
。 x
。 x
。 x
。 x"
17,,環境	交通,"我 r
訂 v
的 uj
是 v
行政 n
房 n
, x
但 c
酒店 n
給 p
我 r
免費 x
升級 x
到 v
公寓 n
房 n
, x
是 v
他們 x
新 a
的 uj
房子 n
, x
房間 x
設施 x
, x
裝修 x
都 d
非常 d
不錯 x
, x
而且 c
可以 c
延遲 x
退房 v
到 v
3 m
點 q
呢 y
, x
地理位置 n
好 a
, x
交通 n
方便 a
, x
餐飲 x
附近 f
也 d
方便 a
, x
如果 c
下次 t
去 v
南京 ns
我 r
還 d
會 v
住 v
在 p
這裡 r
的 uj
, x
我 r
非常 d
喜歡 x"
18,環境,服務,"房間 x
雖 c
小 n
， x
但 c
設施 x
齊全 x
。 x
服務 x
很 d
好 a
， x
一直 d
住 v
這個 x
酒店 n
。 x"
19,餐廳	環境,,"外觀 x
還 x
行 zg
, x
但是 c
裡面 f
的 uj
環境 x
就 d
沒法 x
提 v
了 ul
. m
衛生間 x
有 v
一股 m
說不清 x
的 uj
味道 n
, x
本來 x
想 v
洗澡 v
, x
但是 c
看過 x
衛生間 x
後 nr
, x
還是 x
打消 v
了 ul
念頭 x
! x
早餐 n
只有 c
麵 yg
包 v
\ x
粥 n
\ x
鹹菜 x
\ x
, x
以及 c
鴿子 x
蛋 n
大小 b
的 uj
雞蛋 x
. m
吃 v
完 v
之後 x
居然 d"
20,環境	服務	交通,,"酒店 n
在 p
裝修 x
， x
整體 x
感覺 x
特別 x
不好 d
， x
正門 x
都 d
走 v
不了 v
， x
車 n
也 d
不讓 x
停 v
， x
服務 x
人員 x
也 d
不 d
協助 x
找 v
停車 x
的 uj
地方 n
， x
哪裡 r
像是 v
五星 nz
的 uj
服務 x
水準 x
？ x
房間 x
衛生狀況 x
也 d
不是 c
很 zg
理想 n
， x
備品 x
也 d
不 d
像是 v
五星級 x
的 uj
， x
比如 v
牙刷 vn
根本就是 n
劣質 x
產品 x
。 x
酒店 n
整體 x
的 uj
軟性 x
服務 x
也 d
需要 v
提升 v
， x
看得出 v
是 v
個 q
管理 vn
很 zg
一般 a
的 uj
飯店 x
， x
服務 x
有員 n
整體素質 x
一般 a
。 x"
21,服務,,"本 r
想定 v
晉祠 nr
賓館 x
， x
沒房 v
了 ul
， x
攜城 v
推薦 x
到 v
這兒 x
， x
其實 x
離 v
晉祠 nr
還 d
很遠 x
。 x
服務態度 x
不大好 l
。 x
根本 a
就 d
沒有 x
出租車 x
， x
有 v
黑車 x
， x
斬 v
得 ud
厲害 x
。 x"
22,環境	服務	交通,,"訂 v
了 ul
兩次 x
這家 x
酒店 n
, x
遇到 v
都 d
是 v
幾乎 x
相同 d
的 uj
問題 x
, x
我 r
在 p
備註 x
裡 f
寫 v
的 uj
很 a
清楚 a
, x
"" x
不 d
臨街 x
, x
安靜 x
, x
高層 x
, x
不要 df
KTV eng
上 f
的 uj
房型 n
, x
"" x
不 d
知道 v
什麼 x
原因 n
, x
是 v
攜程 x
沒有 x
把 p
信息 n
傳給 x
酒店 n
, x
還是 x
酒店 n
的 uj
理解 v
有 v
問題 x
, x
第一次 m
給 p
了 ul
我 r
? x"
24,環境	價格	餐廳,,"日本 ns
人 n
的 uj
酒店 n
， x
居然 d
日本料理 n
做 v
的 uj
那麼 x
差 a
。 x
房間 x
很 zg
舊 x
， x
早 a
知道 v
還 x
不如 c
住 v
錦江 x
。 x
早餐 n
味道不好 i
， x
品種 x
少 a
。 x
超 v
難吃 x
。 x
我 r
住 v
的 uj
528 m
元 m
的 uj
房間 x
。 x
完全 ad
談不上 x
性價比 x
。 x
我 r
不會 x
再 d
選擇 x
這裡 r
了 ul
。 x"
25,環境,,"設施 x
陳舊 x
， x
看上去 v
不 d
乾淨 x
。 x
在 p
攜程 x
訂 v
的 uj
酒店 n
中 f
， x
這間 x
的 uj
感覺 x
最 d
不好 d
。 x"
26,環境	服務,,"訂 v
的 uj
2 m
個 m
房間 x
由於 x
一間 x
空調 x
是 v
壞 a
的 uj
， x
還生 v
了 ul
霉 n
， x
問 zg
服務員 x
說 zg
沒有 x
其他 r
房間 x
了 ul
， x
讓 x
我們 x
去 v
退房 v
。 x
於是 x
到 v
了 ul
前台 n
退房 v
。 x
第二天 m
攜程 x
客服 n
電話 x
說 zg
我們 x
訂 n
2 m
間 f
只 d
住 v
了 ul
一間 x
， x
要 v
扣掉 v
另 r
一間 x
的 uj
錢 n
( x
用 p
信用卡 n
擔保 x
過 zg
) x
。 x
我 r
說 v
是 v
房間 x
的 uj
問題 x
才 d
退 v
的 uj
， x
去 v
找 v
酒店 n
負責人 x
理論 x
， x
負責人 x
說 v
我 r
不管 c
， x
你們 x
只 d
住 v
了 ul
一間 x
， x
不管 c
退 v
的 uj
那間 r
。 x
我 r
說 v
是 v
服務員 x
讓 v
我 r
退 v
的 uj
， x
他 r
說 v
服務員 x
說 zg
的話 x
無效 x
。 x
那個 x
態度 x
。 x
。 x
。 x
於是 x
， x
， x
， x
後面 x
多少 m
波折 vn
， x
， x
， x
， x
哎 e
， x
差點 x
誤 v
了 ul
回 v
北京 ns
的 uj
車 n
還好 x
攜程 x
大度 n
， x
調查 x
清楚 a
後 nr
免扣 v
了 ul
多一間 x
房間 x
的 uj
錢 n"
27,,餐廳	服務,"離開 x
該 x
酒店 n
差不多 l
一個月 x
了 ul
， x
但 c
還是 x
想 v
說 v
幾句 x
： x
到達 x
時 zg
已經 x
很 zg
晚 tg
， x
就 d
在 p
店 n
內 f
的 uj
餐廳 x
吃晚飯 x
， x
其間 x
順便 x
問 zg
第二天 m
能否 v
在 p
五點鐘 x
吃 v
上 f
早飯 x
， x
服務員 x
客氣 x
地 uv
告訴 x
我 r
雖然 x
餐廳 x
那時 x
還 d
沒 v
開門 x
， x
但 c
她們 x
可以 c
安排 v
送餐 v
到 v
房間 x
。 x
第二天 m
早上 t
五點 x
三十五分 m
， x
豐盛 x
的 uj
早餐 n
果然 d
送到 v
房間 x
， x
還 x
道歉 v
晚 tg
了 ul
五分鐘 x
。 x
我 r
真 d
得 ud
很 d
感動 x
！ x
雖然 x
只是 c
短短的 z
一 m
晚 tg
， x
可以 c
清楚 a
地 uv
感到 v
店家 n
的 uj
工作人員 x
在 p
用心 n
去 v
工作 vn
！ x
鼓勵 x
一下 m
！ x"
28,,交通	價格,"熱水 x
系統 x
及 c
浴室 n
排水系統 x
比較 x
糟糕 a
, x
水 n
冷熱 x
很 d
難 a
調節 x
, x
不是 c
太冷 ns
就是 d
過 ug
燙 v
, x
洗完 v
澡 n
浴室 n
就是 d
一地 s
的 uj
水 n
. m
其他 r
還 x
可以 c
, x
地理位置 n
很 zg
不錯 x
, x
相對 x
房價 x
比較 x
吸引 v
人 n"
29,,環境	交通,"離 zg
火車站 x
、 x
長途汽車站 x
很 d
近 a
， x
打車 x
起價 x
就 d
到 v
（ x
五分鐘 x
內 zg
） x
， x
樓下 x
有 v
24 m
小時 x
營業 x
的 uj
麥當勞 x
（ x
點 m
餐 ng
可 v
免費送 x
至 p
房間 x
） x
， x
出 v
大門 x
往 p
左 m
便是 v
平原 ns
商場 x
， x
其 r
對面 x
是 v
影劇院 x
。 x"
30,環境	服務	餐廳,,"定 v
的 uj
行政 n
房間 x
正 d
對 p
雜物間 x
, x
們 zg
一直 d
敞著 v
, x
別提 x
多 m
髒亂 x
. x
要求 v
換房 x
後 nr
, x
房間 x
空調 x
不 d
製冷 x
, x
冰箱 n
向 p
推土機 x
, x
要求 v
再 d
換 v
, x
門口 x
樓道 x
鋪 v
了 ul
塊 q
巨大 a
髒 yg
布 v
, x
因為 c
隔壁 s
在 p
裝修 x
, x
不知 v
攜程 x
和 c
這個 x
酒店 n
有 v
什麼 x
過節 x
, x
總 zg
感覺 x
是 v
在 p
故意 d
讓 v
你 r
難受 x
, x
另外 c
所有 b
房間 x
的 uj
電話 x
沒有 x
內線 x
指示 v
, x
竟 d
讓 v
客人 n
用 p
長途 x
打 v
回 v
酒店 n
轉接 x
, x
我 r
靠 v
! x
還有 x
五星級 x
的 uj
小姐 nr
怎麼 x
那麼 x
.. m
真是 d
影響 x
北京 ns
市容 n
和 c
奧運 x
的 uj
和諧 x
環境 x
, x
房間 x
的 uj
餐廳 x
送餐 v
味道 n
會 v
叫 v
你 r
吐出來 x
的 uj
. m
這 r
是 v
本人 r
目前 t
住 v
過 ug
的 uj
最讓人 x
"" x
難忘 x
的 uj
"" x
酒店 n
. x
這些 x
話 x
本人 r
已經 x
在 p
克制 v
了 ul
. m"
31,價格,,"怎麼 x
說 v
呢 y
...... m
這 r
也 d
叫 v
三星 nz
？ x
比較 x
像 v
招待所 n
， x
還有 x
， x
井岡山 x
的 uj
東西 x
那 r
可不是 c
一般 a
的 uj
貴 n
！ x
！ x
！ x
！ x
！ x
！ x"
32,環境,交通	價格,"這個 x
賓館 x
就 d
在 p
王府井 nr
步行街 n
旁 f
. m
地點 x
相當 x
好 a
. m
價格 x
也 d
算 v
優惠 x
. m
但 c
原本 n
預定 x
住 v
5 m
天 n
, x
結果 x
第二天 m
就 d
退房 v
了 ul
. m
因為 c
該 r
賓館 x
的 uj
空調 x
竟然 d
停用 v
. x
原因 n
是 v
北京市 ns
的 uj
供暖系統 x
已經 x
停用 v
. x
後來 x
和 c
其他 r
飯店 x
求證 x
才 d
知道 v
是 v
胡扯 v
... m
害 v
我 r
度過 x
了 ul
一個 x
寒冷 a
的 uj
北京 ns
之 u
夜 tg
. m"
33,環境,服務,"比較 x
老 a
的 uj
飯店 x
， x
房間 x
等 u
設施 x
也 d
比較 x
老 a
， x
服務 x
還是 x
可以 c
的 uj"
34,餐廳	環境,,"應該 x
不是 c
我 r
第一次 m
評價 x
這個 x
酒店 n
了 ul
， x
沒 zg
辦法 x
再次 d
補充 x
如下 t
： x
1 x
、 x
早餐 n
真是 d
超級 x
垃圾 n
， x
做 v
得 ud
真的 d
感覺 x
和 c
豬食 x
差不多 l
， x
不 d
知道 v
請 v
的 uj
什麼 x
廚師 x
？ x
2 x
、 x
仍然 d
是 v
早餐 n
的 uj
問題 x
， x
在 p
大堂 n
旁 f
的 uj
一個 x
好像 v
是 v
叫 v
『 x
瑪格麗特 x
的 uj
』 x
西餐廳 x
； x
1 x
> x
光線 x
特別 x
不好 d
， x
誰 r
都 d
希望 v
早上 t
起來 x
有個 r
明亮 a
的 uj
環境 x
用餐 n
， x
但 c
這裡 r
肯定 v
不是 c
； x
2 x
> x
給 zg
食品 n
加溫 x
的 uj
不是 c
電熱 x
式 k
， x
採用 x
的 uj
是 v
燃燒 x
臘來 t
加熱 x
/ x
保溫 x
， x
弄 v
得 ud
餐廳 x
裡面 f
很濃 x
的 uj
一股 m
臘 x
燃燒 x
後 nr
的 uj
氣味 x
， x
讓 v
人 n
感覺 x
非常 d
不好 d
； x
3 x
、 x
真不知道 i
這樣 x
的 uj
酒店 n
怎麼樣 x
就 d
能夠 x
評上 v
4 m
星 n
？ x
哎 e
。 x
。 x
。 x"
36,環境	價格,,"太 d
一般 a
了 ul
， x
比 p
他 r
原來 x
辦 v
的 uj
如家 r
要略 n
差些 d
！ x
另外 c
， x
一樓 x
手機 x
是 v
沒有 x
信號 x
的 uj
， x
不 d
知道 v
其它 r
樓層 x
怎麼樣 x
？ x
對 p
不 v
熟悉 v
成都 ns
的 uj
人 n
來說 x
對 p
會 v
， x
不過 x
後來 x
得知 v
成都 ns
有 v
許多 x
產權 x
式 k
公寓 n
酒店 n
， x
才 d
138 m
, x
比 p
它 r
強多 v
了 ul
！ x"
39,環境	服務	餐廳,,"早餐 n
有時 x
8 m
點 m
結束 x
， x
刷卡 n
不 d
方便 a
， x
還要 x
壓 zg
現金 x
， x
房間 x
打掃 x
不 d
及時 x"
40,,服務	交通,"很好 a
的 uj
一家 m
酒店 n
哦 zg
， x
以後 x
還 d
會 v
去 v
呢 y
！ x
交通 n
方便 a
， x
服務 x
好 a
， x
不錯 x
不錯 x"
41,環境,服務,"服務 x
很 d
好 a
， x
按 p
服務中心 x
按鈕 x
， x
提出 v
自己 r
的 uj
需求 v
， x
很快 d
就 d
有人 r
對應 x
。 x
不足 a
是 v
： x
房間 x
有些 r
小 a
， x
房子 n
有些 r
舊 x"
42,,交通,"設施 x
有點 x
老化 n
了 ul
， x
但 c
畢竟 x
是 v
鬧中取靜 x
的 uj
地方 n
！ x
洗漱 v
用 p
的 uj
東東 x
配 v
的 uj
挺 v
齊全 x
的 uj
！ x"
43,環境,,"特價 x
房 n
非常 d
小 a
四步 m
走 v
到 v
房間 x
牆角 x
基本 n
是 v
用 p
不 v
隔音 n
的 uj
板材 n
隔出來 x
的 uj
隔壁 s
的 uj
電視 x
聲音 x
還有 x
臨近 x
房間 x
夜晚 t
男女 n
做事 v
的 uj
呻吟 v
和 c
同浴 v
的 uj
聲音 x
都 d
能 v
很 d
清楚 a
的 uj
聽見 x
簡直 x
就是 d
網友 x
見面 x
的 uj
炮房 n
房間 x
裡 zg
空氣質量 x
很 d
差 a
且 c
無法 x
通過 x
換氣 x
排出 v
攜程 x
價格 x
與 zg
門市價 x
相同 d
主要 b
考慮 x
辦事 x
地點 x
在 p
附近 f
才 d
去 v
住 v
的 uj"
44,環境	服務	交通	餐廳,,"酒店 n
離 zg
江門市 x
中心 n
很遠 x
， x
光 n
打 v
的士 n
就要 d
25 m
元 m
！ x
酒店 n
內 f
的 uj
萊茵 x
西餐廳 x
服務 x
非常 d
差 a
： x
喝 vg
的 uj
水 n
有 v
異味 x
， x
點 m
的 uj
三個 x
菜 n
有 v
兩個 x
聲稱 x
沒有 x
食材 n
（ x
鮮蝦 x
帶子 x
拼盤 x
： x
女 b
侍應 x
說 zg
帶子 x
不 d
新鮮 x
不敢 d
上 f
； x
『 x
番茄 n
炒 v
牛肉 n
』 x
： x
女 b
侍應 x
說 v
此 r
牛肉 n
沒有 x
， x
但 c
生炒 v
牛肉 n
飯 x
， x
牛扒 nr
卻 d
有 v
） x
， x
非 h
要 v
顧客 x
改點 x
其他 r
較貴 a
的 uj
菜式 n
。 x
什麼 x
此 zg
牛肉 n
非彼 ns
牛肉 n
， x
明擺 x
著 n
就是 d
說謊 x
！ x
而且 c
女 b
侍應 x
的 uj
態度 x
絕對 x
不敢恭維 x
， x
取消 v
時 zg
動作 x
比 p
我們 x
還 d
快 a
， x
還要 x
我們 x
看 v
臉色 x
！ x
客房 n
： x
其中 r
一張 x
被子 n
正面 ad
有 v
破洞 n
， x
翻過來 x
還有 x
破洞 n
， x
並 zg
伴有 v
污點 x
！ x
熱水 x
壺 q
已 d
壞 a
， x
不能 v
正常 d
水沸 v
斷電 x
。 x
浴室 n
一 m
開始 x
沒有 x
熱水 x
， x
工人 n
整修 v
一段時間 x
後 nr
終於 x
供應 x
上 f
， x
但 c
水 n
竟是 d
? x
黃色 x
的 uj
， x
讓 x
我們 x
放水 v
好長時間 x
才 d
敢 v
洗澡 v
！ x
又 d
是 v
一件 m
讓 v
人 n
心寒 n
的 uj
事 n
！ x
晚上 t
睡覺 x
還有 x
蚊子 n
騷擾 x
! x
為 zg
什麼 x
2005 m
年 m
開業 x
的 uj
四星級 x
酒店 n
會 v
有 v
如此 c
現象 x
？ x
？ x
本來 x
我們 x
是 v
要 v
去 v
休息 v
一下 m
的 uj
， x
沒想到 x
積 v
了 ul
一肚子氣 x
！ x"
45,,服務,"我 r
訂 v
的 uj
是 v
貴賓樓 x
標間 n
( x
根據 x
前人 n
評語 x
篩選 x
) x
, x
最大 a
特點 x
是 v
服務 x
細節 x
考慮 x
得 ud
很 d
周到 v
, x
送 v
水果 n
、 x
晚報 x
、 x
餐巾 n
盒 q
， x
甚至 d
連 zg
浴缸 n
前 f
的 uj
墊腳 x
毛巾 nr
都 d
鋪 v
好 a
了 ul
。 x
特別 x
提示 v
： x
因 p
該 r
酒店 n
貴賓樓 x
標間 n
靠近 v
馬路 x
， x
所以 c
房間 x
分 v
雙層 x
隔音 n
玻璃房 n
和 c
單層 x
隔音 n
玻璃房 n
， x
如果 c
你 r
對於 x
噪音 n
比較 x
敏感 a
， x
建議 x
預定 x
雙層 x
隔音 n
玻璃房 n
。 x"
46,,環境,"就是 d
隔音 n
比較 x
差 a
， x
房間 x
外人 n
說話 x
一清二楚 l
。 x
其他 r
都 d
可以 c
， x
在 p
贛州 x
都 d
敢 v
有 v
什麼 x
奢求 n
了 ul"
48,,餐廳	交通,"1. m
酒店設施 x
比較 x
舊 a
2. m
早餐 n
還是 x
秉持 v
較高 a
的 uj
水平 n
3. m
臨近 x
醫院 x
4. m
如果 c
有 v
條件 x
可以 c
入住 v
同一個 x
集團 x
下 f
的 uj
就 d
在 p
旁邊 x
的 uj
洲際 x
酒店 n"
