Id,Neg,Pos,Review
49,,環境	服務	價格	餐廳,"目前 t
是 v
新昌 ns
最好 a
的 uj
酒店 n
， x
環境 x
和 c
服務質量 x
都 d
非常 d
好 a
， x
國內 x
長度 x
免費 x
和 c
免費 x
寬帶 x
還是 x
蠻 d
有 v
吸引力 n
的 uj
， x
離 zg
大佛寺 nz
僅 zg
咫尺之遙 x
， x
太 d
方便 a
了 ul
補充 x
點評 x
2008 m
年 m
5 m
月 m
4 m
日 m
： x
酒店 n
一樓 x
中餐廳 x
內 f
的 uj
白斬雞 x
和 c
水庫 x
剁 v
椒 ng
魚頭 x
是 v
不能不 d
嘗 v
的 uj
？ x
住 v
了 ul
兩 m
晚 tg
， x
吃 v
了 ul
兩餐 x
。 x
特色 n
的 uj
芋餃 n
和 c
面 n
我 r
看 v
並不一定 x
適合 x
上海 ns
人 n
的 uj
口味 n
。 x"
50,,環境	服務,"服務 x
還 x
可以 c
， x
房間 x
好 a
， x
888888888888888888888888 m"
51,環境	服務	價格,餐廳,"酒店 n
服務 x
人員 x
的 uj
服務 x
素質 x
有待 v
提高 v
, x
和 c
入住 v
的 uj
房價 x
明顯 x
不 d
成正比 nr
, x
我 r
入住 v
的 uj
房間 x
床單 n
上 f
有 v
血漬 x
, x
服務 x
人員 x
居然 d
推托 v
說 zg
血漬 x
是 v
濕 a
的 uj
, x
言下之意 i
是 v
我們 x
自己 r
弄 v
上去 t
的 uj
, x
標房 n
裡 f
沒有 x
冰箱 n
和 c
浴袍 n
, x
服務 x
人員 x
說 v
因為 c
房間 x
從 zg
攜程 x
訂 v
的 uj
, x
便宜 a
, x
意思 n
不要 df
計較 x
, x
晚上 t
燒水 x
突然 ad
斷電 x
, x
服務 x
人員 x
又 d
說 v
是 v
我們 x
用 p
了 ul
2 m
個 m
熱水 x
機 x
燒水 x
導致 x
的 uj
. m
但 c
溫泉 x
區 n
的 uj
服務 x
人員 x
態度 x
很 d
好 a
, x
與 zg
酒店 n
服務 x
人員 x
的 uj
態度 x
有著 v
天壤之別 x
, x
建議 x
會員 x
們 k
只 d
去 v
泡溫泉 x
, x
不要 df
入住 v
酒店 n
. x
早飯 x
還 x
可以 c
, x
以 p
中餐 n
為 p
主 b"
54,交通,環境	服務	價格,"服務 x
總體 x
很 d
好 a
， x
通過 x
房間 x
電話 x
可以 c
方便 a
得到 v
服務 x
， x
價格 x
有 v
一定 d
競爭力 x
。 x
有 v
一點 x
遺憾 x
： x
酒店 n
處 x
打車 x
不是 c
很 zg
方便 a
； x
同時 x
酒店 n
取消 v
了 ul
機場 x
BUS eng
， x
客人 n
多少 m
有些 r
不 d
方便 a
。 x"
56,環境	服務,,"預定 x
中午 t
12 m
點 m
入住 v
， x
中午 t
11 m
點 m
半左右 m
到 v
， x
告知 v
房間 x
正在 t
清理 a
。 x
心想 n
， x
清理 a
房間 x
能 v
用 p
多少 m
時間 x
呀 y
， x
於是 x
耐心 a
等待 v
。 x
哪知 l
， x
12 m
： x
30 m
再次 d
詢問 x
房間 x
仍然 d
沒有 x
清理 a
好 a
， x
急 v
了 ul
催問 v
到底 d
幾時 x
可以 c
入住 v
， x
告知 v
40 m
分鐘 x
以後 x
， x
差點 x
暈倒 x
。 x"
58,價格,,"就算 v
是 v
在 p
上海 ns
也 d
是 v
非常 d
好 a
的 uj
酒店 n
哦 zg
， x
雖然 x
價格 x
高 a
， x
不過 x
個人感覺 x
對得起 x
這個 x
價格 x
， x
這次 x
非常 d
遺憾 x
， x
來 zg
黃山 x
什麼 x
都 d
沒有 x
看到 v
， x
下次 t
肯定 v
會 zg
再來 x
， x
而且 c
下次 t
肯定 v
也 d
是 v
住 v
北海 ns
啦 y
！ x
！ x
！ x
！ x"
59,環境	服務,,"酒店設備 x
很 zg
陳舊 x
， x
浴室 n
設備 x
也 d
壞掉 x
， x
服務 x
也 d
很 d
差 a
。 x
因為 c
到 v
的 uj
比較 x
晚 tg
， x
入住 v
已經 x
差不多 l
11 m
點鐘 x
了 ul
， x
家裡 s
人 n
打電話 x
來 zg
酒店 n
， x
酒店 n
總機 x
也 d
是 v
特別 x
沒 zg
禮貌 x
的 uj
掛 v
電話 x
。 x
因為 c
經常 x
出差 v
， x
這 zg
基本上 n
是 v
住 v
過 ug
最差 a
的 uj
酒店 n
了 ul
。 x"
60,環境	價格,,"攜程 x
價格 x
360 m
元 m
/ x
間 zg
， x
我 r
看到 v
同時 x
結帳 x
的 uj
其他 r
客人 n
是 v
298 m
元 m
。 x
攜程 x
告訴 x
我 r
是 v
四星 nz
， x
我 r
看到 v
的 uj
是 v
比 p
錦江 x
之 u
星 n
更 d
糟糕 a
的 uj
房間 x
， x
電梯間 x
油漆 n
剝落 x
， x
浴室 n
不 d
? x
鋼管 x
? x
了 ul
， x
肯定 v
是 v
沒有 x
星級 x
的 uj
。 x
地方 n
也 d
在 p
一個 x
弄堂 n
裡 zg
。 x
我 r
住 v
的 uj
是 v
1512 m
房間 x
。 x
唯一 b
多 m
的 uj
是 v
韓國 x
人 n
進出 x
頻繁 x
。 x
建議 x
攜程 x
與 p
該 r
酒店 n
好好 d
交涉 v
。 x
我 r
是 v
已經 x
和 c
大堂 n
投訴 x
過 ug
了 ul
， x
這樣 x
的 uj
房間 x
是 v
根本 a
不值 n
360 m
元 m
的 uj
價錢 x
的 uj
。 x
攜程 x
應 x
到 v
酒店 n
實地 x
勘查 vn
後 nr
再 d
向 p
客人 n
推薦 x
。 x"
61,環境	價格,,"照片 n
與 zg
事實 x
不符 v
， x
房間 x
太小 n
， x
昆山 ns
實際上 x
有 v
很多 m
酒店 n
比 p
這個 x
好 a
， x
價格 x
也 d
更 d
便宜 a
， x
攜程 x
的 uj
價格 x
在 p
該 r
酒店 n
無 zg
優勢 x
。 x"
63,服務	價格,,"相對 x
於 nr
這種 x
酒店 n
, x
房價 x
應該 x
算 v
非常 d
貴 a
的 uj
, x
而且 c
還有 x
旁邊 x
的 uj
樓 n
在 p
施工 vn
. x
早上 t
4 m
點 m
多 m
鐘 n
就 d
開始 x
幹活 x
. m
吵 v
的 uj
人 n
睡 v
不好 d
, x
更 d
可氣 x
的 uj
是 v
Checkin eng
的 uj
時候 x
服務員 x
不 d
告訴 x
你 r
. m
賓館 x
反饋 x
2008 m
年 m
5 m
月 m
5 m
日 m
： x
首先 d
非常 d
感謝您 x
入住 v
我們 x
酒店 n
。 x
對 p
在 p
您 r
入住 v
海景房 n
期間 x
所 c
遇到 v
的 uj
工程 n
噪音 n
我們 x
感到 v
非常 d
抱歉 v
。 x
由於 x
酒店 n
旁 f
有 v
一幢 m
商品房 n
在 p
趕工期 x
， x
所以 c
給 p
您 r
的 uj
睡眠 v
帶來 x
了 ul
影響 x
， x
我們 x
一定 d
盡量 d
與 p
施工單位 x
聯繫 x
， x
要求 v
他們 x
規範 x
工作 vn
時間 x
。 x
同時 x
希望 v
您 r
能 v
再次 d
入住 v
我們 x
酒店 n
。 x
最後 x
再次 d
對 p
您 r
的 uj
遭遇 n
感到 v
抱歉 v
。 x"
65,環境	服務,,"該 x
酒店 n
太差 n
， x
衛生條件 x
， x
服務 x
均差 a
。 x
我 r
入住 v
時 zg
大堂 n
內 zg
竟然 d
散放 v
著待 v
洗 v
的 uj
床單 n
毛巾 nr
， x
亂七八糟 x
， x
建議 x
協 x
程網 x
取消 v
其 r
加盟 ns
資格 x"
67,環境	服務,,"非常 d
不滿 x
這 zg
酒店 n
， x
配不上 v
5 m
星 n
。 x
第一 m
, x
客房 n
服務員 x
沒有 x
水平 n
, x
房卡 n
出 v
問題 x
， x
叫 v
了 ul
20 m
分鐘 x
仍 zg
沒有 x
人 n
出來 x
開門 x
。 x
第二 m
, x
電 n
掣 v
跳閘 x
.. m
也 d
等 u
了 ul
15 m
分鐘 x
才 d
有人 r
上來 x
。 x
第三 m
, x
服務員 x
沒有 x
禮貌 x
, x
說話 x
太不像話 x
, x
前台 n
也 d
有些 r
接待 v
人員 x
完全 ad
不 d
懂 v
操作 v
。 x
第四 m
, x
也 d
就是 d
最 d
不 d
滿意 x
的 uj
, x
就是 d
身為 v
5 m
星級 x
的 uj
酒店 n
， x
門口 x
那些 r
出租車 x
司機 x
胡亂 x
開價 x
, x
我們 x
就 d
像 v
水魚 n
被 p
人 n
宰 v
... m
我們 x
說 zg
開價 x
太貴 x
, x
他們 x
竟然 d
說 v
從 p
5 m
星級 x
出來 x
, x
討價還價 x
, x
會 zg
影響 x
我們 x
身份 n
.. m
這 r
是 v
什麼 x
道理 n
? x
害 v
得 ud
我們 x
找 v
不到 v
車 n
... m
這 r
是 v
我 r
住 v
的 uj
第一次 m
遇到 v
這樣 x
的 uj
5 m
星級 x
酒店 n
, x
出現 x
這樣 x
沒有 x
水平 n
的 uj
配套 a
。 x
垃圾 n
........... m
補充 x
點評 x
2007 m
年 m
12 m
月 m
10 m
日 m
： x
還有 x
床 n
太不像話 x
了 ul
， x
睡 v
的 uj
時候 x
床墊 n
竟然 d
可以 c
感覺 x
到 v
彈簧 x
的 uj
鐵絲 x
… x
睡 v
得 ud
很 d
不 d
舒服 a"
68,環境	價格,,"很 zg
一般 a
， x
住 v
的 uj
是 v
一樓 x
的 uj
房間 x
， x
窗戶 x
後面 x
一堵 m
牆 x
， x
只 d
看到 v
窗 ng
和 c
牆 n
之間 x
的 uj
一堆 m
垃圾 n
。 x
房間 x
的 uj
隔音 n
不好 d
， x
樓上 x
飲水機 x
的 uj
聲音 x
都 d
能 v
聽到 x
， x
房間 x
裡 zg
飲水機 x
的 uj
聲音 x
更 d
響 v
， x
不 d
關 zg
無法 x
入睡 v
。 x
最 d
過分 x
的 uj
是 v
， x
住 v
了 ul
兩天 x
， x
每天 r
早上 t
起床 v
， x
最先 d
看到 v
的 uj
， x
就是 d
小強 x
在 p
牆邊 x
爬 v
， x
太 d
噁心 x
了 ul
。 x
賓館 x
商務中心 x
的 uj
電腦 x
上網 x
是 v
10 m
元 m
/ x
小時 x
， x
還 x
打不開 x
網頁 x
。 x
總之 x
， x
整體 x
印象 n
不好 d
。 x
還有 x
提醒 v
大家 n
一點 x
， x
賓館 x
用餐 n
的話 x
， x
餐費 x
是 v
另外 c
開 zg
餐飲 x
發票 x
的 uj
， x
不 d
和 c
房費 x
開 zg
在 p
一起 m
的 uj
。 x"
71,環境	服務,,"服務態度 x
不好 d
， x
極差 x
， x
前台 n
態度惡劣 x
， x
房間 x
衛生 x
不 d
乾淨 x
， x
誣陷 x
客人 n
照成 v
， x
要求 v
客人 n
賠償 x"
72,環境,服務,"很 zg
一般 a
的 uj
四星級 x
酒店 n
. x
環境 x
不錯 x
. x
房間 x
實在 x
不怎麼樣 x
. x
服務 x
還行 v
. m"
73,環境,交通,"我 r
在 p
網站 x
上 f
預定 x
的 uj
是 v
一間 x
大床 nz
房 n
, x
到 v
CHECKIN eng
的 uj
時候 x
變成 x
了 ul
雙人房 x
, x
雖然 x
後來 x
給 p
我 r
調換 x
了 ul
. m
酒店 n
地理位置 n
不錯 x
, x
門口 x
時 zg
高速 d
和 c
輕軌 x
. m
但 c
酒店 n
的 uj
房間 x
整理 n
裝修 x
時 zg
非常 d
的 uj
差 n
, x
非常 d
的 uj
陳舊 x
, x
完全 ad
對不住 x
這個 x
房價 x
! x
! x
! x
! x
! x
以後 x
也 d
不會 x
住 v
這個 x
酒店 n
了 ul
! x"
74,,環境	服務	價格	餐廳,"剛 d
從 p
無錫 x
回來 x
, x
住 v
了 ul
該 r
酒店 n
二號樓 x
328 m
YUAN eng
的 uj
, x
總體 x
感覺 x
如下 t
; x
房間 x
乾淨 x
, x
配製 x
齊全 x
還有 x
液鏡 n
電腦 x
; x
飯菜 x
可口 v
且 zg
不是 c
很 zg
貴 x
; x
最 d
值得稱讚 x
的 uj
是 v
服務 x
水準 x
, x
老公 nr
粗心大意 i
把 p
手機 x
掉 v
了 ul
, x
工作人員 x
撿 v
後 nr
馬上 x
送回 v
, x
讚 y
了 ul
! x
飯店 x
的 uj
員工 x
幾乎 x
都 d
是 v
笑臉相迎 x
, x
很 zg
難得 x
, x
單 d
從 p
這點 x
就 d
間接 x
提升 v
了 ul
入住 v
該 x
飯店 x
的 uj
理由 n
! x"
76,環境	服務,,"服務 x
很 d
差 a
, x
房間 x
供暖 v
不足 a
。 x
換 v
啦 y
兩次 x
房間 x
才 d
行 v
。 x
態度惡劣 x
。 x
新 a
房間 x
床上 n
有 v
別人 x
的 uj
毛髮 x
。 x
叫 v
服務員 x
換 v
還 d
很 d
不 d
高興 x
。 x"
77,環境	服務	交通,,"水籠頭 x
沒壞 v
， x
但是 c
破到 v
你 r
無法 x
想像 v
， x
水流 n
很 zg
細 zg
。 x
剛 zg
入住 v
發現 x
房間 x
還有 x
上 f
一位 m
客人 n
的 uj
東西 x
。 x
服務員 x
打掃 x
房間 x
後 nr
， x
大 a
晚上 t
又 d
來 v
敲門 x
， x
說 v
是 v
自己 r
的 uj
東西 x
拉 v
房間 x
了 ul
。 x
講話 x
還 d
很 d
大聲 x
， x
房間 x
又 d
臨街 x
， x
吵 v
的 uj
要死 v
。 x
補充 x
點評 x
2007 m
年 m
11 m
月 m
26 m
日 m
： x
登 v
記時 x
刷卡 n
， x
結果 x
不是 c
預 zg
授權 x
， x
直接 ad
刷 zg
消費 x
， x
可錢 v
的 uj
數目 x
還是 x
押金 n
數額 x
不是 c
實際 x
住店 n
金額 x
。 x
結帳 x
走 v
人 n
時 ng
， x
前台 n
拿著 v
我 r
的 uj
卡 n
東刷西 n
刷上 v
刷下 v
刷 zg
， x
10 m
分鐘 x
後 nr
告訴 x
我 r
不是 c
這 r
張卡 nr
。 x
我 r
說 v
我 r
的 uj
卡 n
和 c
我 r
的 uj
記性 x
沒 zg
問題 x
， x
你 r
讓 v
領班 x
弄 v
。 x
又 d
過 ug
了 ul
十分鐘 x
， x
領班 x
來 zg
搞定 v
了 ul
。 x
酒店 n
硬件 n
不行 v
， x
服務 x
軟件 x
也 d
差 a
死 v
了 ul
。 x"
78,環境	服務	餐廳,,"嚴重 x
的 uj
名不副實 x
， x
所謂 x
的 uj
准 v
四星級 x
差距 n
太 d
大 a
。 x
入住 v
豪華 x
大 a
床間 n
， x
房間 x
小 a
的 uj
只有 c
一張 x
床 n
的 uj
位置 v
， x
衛生間 x
小 a
的 uj
淋浴 n
空間 x
甚至 d
轉 v
不 d
開身 v
。 x
房屋 n
隔音 n
太差 n
， x
隔壁 s
兩 m
人 n
說話 x
的 uj
聲音 x
清晰 a
入耳 v
， x
樓道 x
中 f
服務員 x
交談 x
的 uj
聲音 x
遠遠 x
就 d
能 v
聽到 x
。 x
餐廳 x
小 a
強橫 x
跑 v
， x
哪兒 x
還有 x
心情 n
吃得下 l
去 v
？ x
這兒 x
根本 a
就 d
不是 c
個 zg
酒店 n
， x
感覺 x
像是 v
KTV eng
改造 v
的 uj
， x
不行 v
不行 v
， x
太差 n
了 ul
！ x"
79,,環境	交通	價格	服務,"房間 x
很 d
好 a
， x
位置 v
離 zg
地鐵站 x
很 d
近 a
。 x
服務 x
也 d
很 d
好 a
。 x
價錢 x
公道 n
。 x
大廳 x
經理 x
， x
副理 n
都 d
很 d
好 a
。 x"
80,環境	交通	服務,,"真是 d
非常 d
的 uj
不爽 a
， x
本來 x
來 zg
慈溪 nrt
很 zg
喜歡 x
住 v
這裡 r
的 uj
。 x
因為 c
這次 x
來 v
的 uj
時候 x
沒有 x
帶 zg
本本 n
， x
所以 c
住 v
了 ul
行政 n
雙人間 x
， x
6 m
樓 n
真的 d
是 v
太差 n
了 ul
！ x
！ x
！ x
！ x
！ x
晚上 t
房間 x
溫度 x
有 v
29 m
度 q
， x
空調 x
竟然 d
不 d
開 zg
！ x
！ x
！ x
窗戶 x
打開 x
， x
對著 v
外面 f
就是 d
一個 x
汽車 x
貨運站 x
！ x
跟前 f
台 q
說換 v
一下 m
房間 x
， x
竟然 d
直接 ad
說 zg
， x
另一面 c
就是 d
馬路 x
！ x
！ x
都 d
是 v
很 d
吵 v
！ x
！ x
真的 d
是 v
太太 n
失望 v
了 ul
.... m
換 nz
， x
堅決 x
換 zg
， x
下次 t
肯定 v
不住 v
的 uj
了 ul
。 x
補充 x
點評 x
2007 m
年 m
5 m
月 m
16 m
日 m
： x
實在 x
沒有 x
辦法 x
， x
共 n
2 m
間 f
住 v
了 ul
2 m
天 n
， x
真的 d
想 v
連評 v
4 m
次 t
， x
都 d
給 p
個 m
1 m
分 v
， x
太 d
氣憤 x
了 ul
！ x
！ x
破 v
網絡 x
也 d
是 v
一塌糊塗 x
。 x"
83,環境,服務,"這 r
是 v
物有所值 l
的 uj
三星級 x
酒店 n
, x
設施 x
齊全 x
包括 v
洗浴 v
間小 b
毛巾 nr
/ x
吹風機 x
等 u
, x
房屋 n
裝修 x
新 a
. m
服務態度 x
好 a
如 v
前台 n
微笑服務 x
好 a
. m
位於 x
市中心 n
但是 c
臨街 x
道 q
而 c
喧鬧 x
, x
房間 x
隔音 n
效果 n
不好 d
. x
早餐 n
一般 a
. x
補充 x
點評 x
2007 m
年 m
9 m
月 m
4 m
日 m
： x
房屋 n
價格 x
適中 x
, x
但是 c
協程 n
預定 x
沒有 x
價格優勢 x
, x
該 x
酒店 n
前台 n
價格 x
與 p
協程 n
一樣 x
. x"
84,環境	服務	價格,,"這 r
是 v
我 r
住 v
過 ug
的 uj
最差 a
的 uj
酒店 n
。 x
入住 v
的 uj
時候 x
房卡 n
搞錯 x
， x
明明 t
只要 c
440 m
（ x
這個 x
價格 x
我 r
也 d
就 d
不 d
說 v
了 ul
， x
根本 a
不值 n
） x
的 uj
房費 x
， x
居然 d
要 v
3 m
倍 m
的 uj
押金 n
。 x
做 v
了 ul
預 v
授權 x
然後 x
居然 d
結帳 x
的 uj
時候 x
說 v
沒 d
做 v
， x
要 v
我 r
付現 x
， x
後來 x
才 d
翻出 v
單 n
據說 x
沒 zg
看到 v
。 x
結帳 x
用 p
了 ul
20 m
分鐘 x
， x
而且 c
就 d
我 r
一個 x
在 p
結帳 x
。 x
索要 d
發票 x
說 zg
只有 c
整數 x
（ x
和 c
餐館 x
的 uj
一樣 x
， x
而 c
沒有 x
機打 n
的 uj
） x
而 c
不 d
給 p
小額 x
。 x
最後 x
很 d
不 d
情願 x
地 uv
多給 v
了 ul
些 q
（ x
也 d
不是 c
我 r
想要 v
的 uj
） x
房間 x
就 d
更 d
一無是處 x
， x
沒 zg
網絡 x
， x
小姐 nr
電話 x
每 zg
半小時 x
響 x
一次 m
， x
根本 a
不讓 x
你 r
睡覺 x
（ x
後來 x
我 r
拔 v
了 ul
電話線 x
） x
， x
暖氣 x
燒到 v
29 m
度 q
， x
而且 c
沒法 x
調節 x
， x
在 p
外面 f
－ x
22 m
度 q
的 uj
情況 x
下開 v
了 ul
窗 s
還是 x
熱 zg
。 x
真 d
想不通 l
攜程 x
怎麼 x
能 v
推薦 x
這樣 x
的 uj
酒店 n
， x
滿洲 x
裡 zg
酒店 n
其實 x
不少 d
。 x
我 r
是 v
攜程 x
的 uj
鑽石 x
會員 x
， x
但是 c
下次 t
去 v
滿洲 x
裡 f
我 r
再也不會 x
訂 x
攜程 x
的 uj
酒店 n
了 ul
！ x
千萬別 x
住 v
！ x
！ x
！ x
！ x
！ x
！ x
！ x
！ x
！ x
！ x"
85,環境	服務,,"房間 x
真是 d
好 a
小 a
， x
而且 c
有 v
股 q
霉味 n
， x
床單 n
沒洗 x
乾淨 x
， x
有 v
不明 v
的 uj
污漬 x
， x
打 v
到 v
客房部 n
要求 v
換 zg
沒人接 x
電話 x
， x
只能 v
打 v
到 v
前台 n
， x
送來 x
條床 n
單 n
， x
我 r
要求 v
鋪上 x
， x
服務員 x
說 zg
自己 r
是 v
前台 n
的 uj
不 a
負責 x
鋪床 n
， x
客房部 n
的 uj
人 n
下班 v
了 ul
， x
我 r
只能 v
自己 r
鋪 x
。 x
看 v
上面 f
幾位 x
評價 x
數字電視 x
比較 x
吸引 v
人 n
， x
我 r
覺得 x
真是 d
沒什麼 x
可看 v
的 uj
， x
存儲 x
的 uj
電影 x
少 a
得 ud
可憐 x
， x
連續劇 x
根本 a
打不開 x
。 x
下次 t
不會 x
去 v
住 v
了 ul
。 x"
86,環境	餐廳,,"是 v
看 v
了 ul
網上 x
評分 x
好 a
才 d
預訂 x
的 uj
, x
結果 x
去 v
了 ul
後 nr
大失所望 i
. x
晚上 t
去 v
check eng
- x
in eng
的 uj
, x
但 c
賓館 x
卻 zg
沒有 x
開燈 x
, x
我們 x
繞著 v
正義路 x
跑 v
了 ul
三圈 m
都 d
沒 v
找到 v
, x
只好 d
打電話 x
讓 x
他們 x
出來 x
人才 n
領到 x
地方 n
. x
刷卡 n
不能 v
預付 x
, x
害 v
得 ud
我們 x
每天 r
都 d
要 v
去 v
刷 v
一下 m
當天 x
房費 x
並續 v
房卡 n
. x
房間 x
很 d
破 v
, x
牆紙 x
拿 v
膠帶 x
粘著 v
, x
插座 n
十個 x
都 d
有 v
八個 x
不能 v
用 p
. m
多 m
的 uj
枕頭 x
被子 n
找 v
個 q
櫃子 x
就 d
塞 v
, x
估計 x
都 d
很髒 x
, x
用 p
了 ul
都 d
有 v
心理障礙 x
. x
衣櫃 x
想掛 v
衣服 n
都 d
很 d
難 a
打開 x
. x
門鎖 x
開 v
了 ul
關門 x
困難 x
, x
每次 r
都 d
要 v
很 d
大聲 x
的 uj
關門 x
. x
寬帶 x
根本就是 n
擺設 x
, x
找 v
人 n
維修 x
竟 d
說 v
IT eng
人 n
休息 v
, x
昏倒 v
~ x
~ x
房內 x
衛生 x
做 v
得 ud
極其 x
馬虎 x
, x
我們 x
倆個 x
房間 x
一個 x
幾天 x
都 d
是 v
藥味 x
, x
開窗 x
也 d
散 v
不 d
去 v
; x
一個 x
有 v
煙味 x
, x
卻 zg
根本 a
不能 v
開窗 x
. m
床頭 n
底下 f
竟然 d
還有 x
個 zg
雞蛋 x
, x
抽屜 x
裡 zg
還有 x
上 f
一個 x
客人 n
的 uj
遺留 x
物品 n
. x
最最 d
誇張 x
的 uj
是 v
那個 x
衛生間 x
, x
竟然 d
淋浴 n
沒有 x
隔層 x
, x
洗 v
個 q
澡 ng
整個 x
衛生間 x
全是 n
水 n
. m
每天 r
洗完 v
澡 n
不得不 d
在 p
地 n
上鋪 x
塊 q
大 a
浴巾 n
, x
以便 c
能 v
進去 x
. x
那個 x
早餐 n
我 r
根本 a
也 d
不想 v
說 v
了 ul
, x
7 x
- x
9 m
點 m
的 uj
供應 x
時間 x
, x
東西 x
簡直 x
是 v
垃圾 n
. x
後來 x
我 r
連 u
早餐券 n
都 d
不要 df
他們 x
的 uj
了 ul
. m
前台 n
的 uj
接待員 x
算有 v
禮貌 x
, x
但 c
checkout eng
奇慢 a
. x
後來 x
才 d
瞭解 x
到 v
一定 d
要 v
屋內 x
人 n
走 v
了 ul
查完 v
房才 n
給 p
我們 x
結 n
. m
只 d
想 v
說 v
那 r
屋裡 s
的 uj
東西 x
送 v
我 r
都 d
不會 x
要 v
, x
還 x
怕人 a
拿 v
, x
太 d
誇張 x
了 ul
...... m
以後 x
是 v
萬萬 x
也 d
不會 x
再 d
去 v
那裡 r
住 v
了 ul
, x
太 d
失望 v
了 ul
! x
! x
! x
! x
! x
! x"
87,價格,,"價格 x
不是太好 l
. x
其他 r
都 d
還 d
不錯 x"
88,環境,,"1. m
大堂 n
前台 n
服務 x
快捷 a
， x
效率高 n
。 x
2. m
客房 n
層 q
和 c
房間 x
空氣 x
不好 d
， x
通風 x
不良 a
。 x
3. m
房間 x
乾淨 x
， x
但是 c
陳設 x
和 c
配置 v
過於 x
簡陋 x
。 x
4. m
三 m
樓 n
餐廳 x
早餐 n
品種 x
尚可 d
， x
服務 x
欠 v
培訓 x
， x
二星 nz
水準 x
。 x
5. m
二樓 x
餐廳 x
菜譜 x
海鮮 x
豐富 x
， x
但是 c
素菜 n
類 zg
品種 x
太 d
少 a
。 x
感覺 x
一般般 l
嘍 x
， x
不如 c
隔壁 s
的 uj
金雁 nr
。 x"
