Id,Neg,Pos,Review
90,,餐廳,"價格 x
適中 x
， x
裝修 x
還 x
可以 c
。 x
早餐 n
尚可 d
。 x
物有所值 l"
91,環境	服務	價格,,"給 zg
朋友 n
定 v
了 ul
該 r
酒店 n
, x
價格比 x
以前 f
高出 v
了 ul
很多 m
. m
這 r
且不說 x
. x
轉天 x
朋友 n
結帳 x
, x
前台 n
因為 c
染 v
了 ul
一塊 x
毛巾 nr
和 c
床單 n
的 uj
說法 x
要求 v
賠償 x
110 m
元 m
. m
朋友 n
很 d
不 d
開心 x
, x
說 zg
就是 d
喝 vg
你們 x
冰箱 n
可樂 x
時候 x
噴出來 x
一些 m
. x
而且 c
110 m
買 v
你 r
5 m
套 q
也 d
夠 v
了 ul
. m
結果 x
我 r
要求 v
前台 n
把 p
經理 x
找來 x
, x
一個 x
小伙子 n
說 v
他 r
就是 d
. x
朋友 n
說 zg
你們 x
四星 nz
這麼 x
做 v
有點 x
過火 x
. x
後來 x
我 r
要求 v
那個 x
小伙子 n
帶我去 x
房間 x
看 v
一下 m
有沒有 x
污染 vn
, x
到 v
什麼 x
程度 n
. x
於是 x
他 r
就 d
一起 m
去 v
了 ul
, x
床單 n
的 uj
一 m
大片 n
我 r
表示 v
懷疑 x
是否是 l
朋友 n
染 v
的 uj
. m
於是 x
在 p
我 r
拉掉 v
床單 n
的 uj
一剎那 x
, x
令人 nrt
驚訝 x
的 uj
事情 n
發生 x
了 ul
, x
在 p
下面 f
棉單 n
上面 f
, x
竟然 d
有 v
一 m
女人 n
例假 v
的 uj
血跡 x
. x
當然 x
就 d
想 v
吐 v
, x
那 r
血 n
還 d
好像 v
是 v
近期 t
的 uj
. m
朋友 n
一看 u
就 d
急 v
了 ul
, x
在 p
這 r
床上 n
睡 v
一 m
晚 tg
是 v
多麼 x
讓 v
人 n
噁心 x
. m
我 r
相信 v
酒店 n
也 d
完全 ad
能 v
檢查 x
出來 x
有 v
, x
根本 a
沒有 x
換 zg
, x
或者 c
簡單 x
洗完 v
就 d
鋪上 x
了 ul
. m
所以 c
, x
請 zg
大家 n
今後 x
住 v
這個 x
酒店 n
一定 d
好好 d
檢查 x
檢查 x
. x
( x
酒店 n
最終 x
解決 x
是 v
半價 x
, x
但是 c
遠遠 x
無法 x
消除 v
這種 x
失望 v
, x
決心 x
不再 d
入住 v
) x
. x
補充 x
點評 x
2007 m
年 m
2 m
月 m
3 m
日 m
： x
如果 c
床單 n
上 f
發現 x
有 v
血跡 x
, x
這 r
在 p
國外 x
, x
甚至 d
國內 x
的 uj
4 m
, x
5 m
星 n
酒店 n
絕對 x
是 v
無法 x
容忍 a
的 uj
事情 n
. x
酒店 n
不是 c
簡單 x
的 uj
打著 v
折 v
就 d
能 v
擺平 x
的 uj
事情 n
. x"
93,,環境	服務,"酒店 n
服務員 x
真 d
好 a
， x
我 r
被 p
大雨 n
截在 v
長途車 x
站 v
， x
給 zg
酒店 n
電話 x
之後 x
派車 x
接 v
了 ul
我 r
。 x
房間 x
不敢恭維 x
， x
太舊 x
了 ul
， x
而且 c
有 v
味道 n
。 x
總體而言 x
服務 x
還 x
可以 c
。 x"
95,環境,,"什麼 x
破 v
4 m
星 n
， x
熱水 x
要 v
10 m
分鐘 x
後 nr
才 d
來 v
。 x
沒有 x
中央空調 x
。 x
賓館 x
反饋 x
2008 m
年 m
3 m
月 m
26 m
日 m
： x
沒有 x
中央空調 x
， x
信息 n
不 d
實 x
。 x
熱水 x
可能 v
白天 t
客人 n
洗澡 v
的 uj
較少 d
， x
管道 n
內 f
有 v
一些 m
冷水 n
需要 v
放淨 v
， x
此類 x
事情 n
在 p
哪家 r
酒店 n
都 d
會 v
出現 x
， x
請客 x
人 n
諒解 x
！ x"
96,環境,,"房間 x
很 d
差 a
， x
暖氣 x
非常 d
不 d
阻 v
， x
被子 n
又 d
薄 a
， x
居然 d
連個 x
電話 x
都 d
沒有 x
， x
還是 x
豪華 x
房 n
。 x
下次 t
千萬 x
不要 df
住 v
。 x"
97,,環境	服務	價格,"房間 x
寬敞 x
， x
很 zg
乾淨 x
， x
牆上 x
掛著 v
小型 b
液晶 n
電視機 x
， x
衛生間 x
沒有 x
浴缸 n
只能 v
淋浴 n
， x
不過 x
不成問題 x
。 x
長寧路 x
是 v
個 q
大馬路 x
， x
但因為 c
酒店 n
位於 x
弄堂 n
裡 zg
， x
所以 c
環境 x
比較 x
安靜 x
。 x
我 r
比較 x
喜歡 x
錦江 x
大廚 x
， x
價廉 x
味 ng
美 j
， x
服務態度 x
也 d
還 d
可以 c
。 x
229 m
元 m
的 uj
房價 x
的確 x
很 d
有 v
競爭力 x
。 x
網絡 x
速度 n
有點 x
問題 x
， x
經常 x
有 v
中斷 x
或 c
連接 x
不上 v
的 uj
情況 x
。 x"
98,環境	服務	價格,,"酒店 n
房間 x
甲醛 nz
含量 n
過 ug
高 a
, x
嚴重 x
影響 x
客人 n
身體健康 x
. m
我 r
入住 v
的 uj
是 v
932 m
, x
剛 zg
開門 x
差點 x
被 p
熏 v
倒 v
. m
第二天 m
回來 x
開門 x
再次 d
被 p
雷 n
到 v
. m
換房 x
626 m
, x
情況 x
稍 zg
好 a
, x
但 c
床單 n
上 f
有 v
三處 x
污點 x
, x
退房 v
時 ng
有 v
和 c
總台 n
反應 x
, x
好像 v
沒什麼 x
反應 x
. m
吃 v
早飯 x
, x
你 r
吃 v
東西 x
的 uj
速度 n
要 v
趕上 x
服務員 x
撤 v
盤子 x
的 uj
速度 n
, x
否則 x
桌子 n
上 f
會 zg
什麼 x
都 d
不會 x
留下 v
. x
補充 x
點評 x
2008 m
年 m
7 m
月 m
6 m
日 m
： x
哈 nr
, x
剛住 d
完 v
, x
酒店 n
價格 x
就 d
從 p
450 m
降到 v
418 m
, x
下次 t
和 c
攜程 x
"" x
砍價 x
了 ul
"" x"
99,服務	價格,,"最差 a
的 uj
酒店 n
, x
完全 ad
沒有 x
服務 x
意識 x
, x
我 r
幫 v
朋友 n
訂 v
的 uj
酒店 n
, x
說 v
是 v
可以 c
到 v
機場 x
接 v
飛機 x
, x
但是 c
沒有 x
接到 v
我 r
朋友 n
不 d
說 v
, x
連個 x
電話 x
也 d
沒有 x
給 p
我 r
打 v
, x
我 r
朋友 n
從 zg
外國 x
回來 x
, x
我 r
無法 x
聯繫 x
上 f
她 r
, x
她 r
只有 c
隨便 x
住 v
了 ul
機場 x
旁邊 x
的 uj
錦江 x
之 u
星 n
, x
我 r
晚上 t
11 m
點 m
多 m
打給 v
酒店 n
, x
那邊 x
竟然 d
不負責任 x
的 uj
說 v
人 n
還 d
沒有 x
接到 v
, x
可能 v
飛機 x
晚點 x
了 ul
, x
還 x
答應 x
說 v
我 r
朋友 n
到 v
了 ul
給 p
我 r
打電話 x
, x
完全 ad
是 v
胡說 x
! x
! x
建議 x
大家 n
都 d
不要 df
住 v
這個 x
酒店 n
, x
實在 x
是 v
太差 n
了 ul
! x
! x
! x
最後 x
人 n
沒有 x
接到 v
, x
還 x
好意思 l
後來 x
打電話 x
跟 p
我 r
說 v
要錢 x
, x
實在 x
是 v
差 a
! x
! x"
100,餐廳	服務,,"不好 d
， x
感覺 x
很 d
差 a
， x
特別 x
是 v
那 r
服務態度 x
， x
客人 n
進來 x
不聞不問 x
， x
走時 x
也 d
沒 d
說 v
「 x
歡迎 x
下次 t
再來 x
」 x
， x
服務員 x
臉上 x
也 d
基本 n
看不到 v
微笑 vn
， x
特別 x
是 v
那 r
餐廳 x
， x
我 r
只能 v
用 p
「 x
極差 x
」 x
二 m
字 n
形容 n
， x
不好意思 a
， x
因為 c
我 r
實在 x
找不出 v
比 p
這 r
更 d
貼切 x
的 uj
詞彙 x
了 ul
， x
在 p
二樓 x
用餐 n
時 zg
， x
那 r
服務員 x
說 v
的 uj
最多 a
的 uj
就是 d
「 x
大家 n
要 v
吃 v
好 a
不要 df
浪費 x
」 x
和 c
「 x
對不起 x
， x
我們 x
沒菜 v
了 ul
」 x
， x
我 r
看 v
了 ul
一下 m
表 v
， x
才 d
6 m
： x
40 m
， x
而 c
晚餐 n
時間 x
是 v
7 m
： x
00 m
結束 x
， x
那麼 x
早就 d
沒菜 v
了 ul
， x
那 r
還 d
叫 v
「 x
飯店 x
」 x
？ x
後來 x
一眼 m
瞥見 x
一塊 x
牌子 n
， x
上面 f
寫道 x
： x
食物 n
沒 d
吃 v
完 v
， x
超出 v
100 m
g eng
/ x
10 m
元 m
收費 x
。 x
難道 x
你們 x
那 r
飯 n
是 v
用 p
金子 n
做 v
的 uj
？ x
而且 c
還 x
摳門 x
的 uj
很 a
， x
飯 n
涼 v
了 ul
， x
用 p
微 n
鍋爐 x
加熱 x
， x
服務員 x
一個勁 x
得 ud
說 v
「 x
一分鐘 x
就 d
夠 v
了 ul
， x
一分鐘 x
就 d
夠 v
了 ul
」 x
， x
我 r
在 p
想 v
我們 x
可是 c
付錢 x
進來 x
的 uj
， x
可不是 c
來 zg
受氣 x
的 uj
， x
更 d
不是 c
聽 x
你們 x
說 zg
「 x
現在 x
菜 n
貴 a
了 ul
， x
我們 x
都 d
買不起 x
菜 n
」 x
之類 x
抱怨 v
的話 x
， x
所以 c
我 r
建議 x
大家 n
如果 c
不是 c
想來 x
鍛煉 v
心理 n
承受能力 n
的 uj
或 c
心理素質 x
的 uj
， x
我 r
相當 x
不 d
推薦 x
此 zg
酒店 n"
104,,環境	服務,"房間 x
面積 x
很大 a
， x
服務 x
尚可 d
， x
總的來說 x
還 x
滿意 x
。 x"
105,環境	服務,,"9 m
月 m
30 m
日 m
我 r
給 p
朋友 n
（ x
從 zg
德國 x
來 zg
湖南 ns
打算 v
去 v
張家界 x
） x
預訂 x
了 ul
2 m
間房 n
1 m
晚 t
， x
第 m
2 m
天 n
早上 t
結帳 x
時 zg
服務員 x
硬 a
說 v
房間 x
少 a
了 ul
1 m
個 m
衣架 n
， x
我 r
朋友 n
只好 d
上去 t
6 m
樓 n
看 v
， x
結果 x
是 v
服務員 x
數錯 x
了 ul
。 x
我 r
朋友 n
很 zg
生氣 x
， x
說 zg
酒店 n
服務員 x
數數 x
都 d
數不清 x
嗎 x
？ x
發生 x
這樣 x
的 uj
事 n
， x
讓 x
客人 n
感覺 x
到 v
很 d
不 d
愉快 a
， x
同時 x
耽誤 x
了 ul
客人 n
結帳 x
的 uj
時間 x
。 x"
106,環境	價格	餐廳,,"太差 n
， x
根本 a
不夠 x
四星級 x
。 x
我 r
住 v
的 uj
是 v
豪華 x
大床 nz
房 n
， x
居然 d
只是 c
三 m
樓 n
， x
三 m
樓 n
有 v
不少 d
運動 x
場所 x
， x
還有 x
髮廊 x
， x
很 zg
嘈雜 x
， x
房間 x
也 d
不好 d
找 v
， x
我 r
找 v
了 ul
半天 m
才 d
找到 v
自己 r
的 uj
房間 x
。 x
房間 x
裡 f
很 d
悶 v
， x
通風 x
很 d
差 a
， x
窗外 s
一點 x
街景 n
也 d
看不見 x
， x
相隔 v
十幾米 x
跟 p
居民樓 x
面面 f
相對 x
。 x
房間 x
裡 f
連 u
咖啡 n
包 v
也 d
沒有 x
， x
倒有 v
不少 d
要 v
收費 x
的 uj
茶 n
包 v
、 x
飲料 x
等 u
， x
我 r
還 d
得 ud
幫 v
它 r
核 n
對 p
一下 m
別 zg
入住 v
時 ng
就 d
少 a
了 ul
什麼 x
！ x
早餐 n
很 zg
一般 a
， x
沒 zg
特色 n
， x
以後 x
絕對 x
不住 v
了 ul
！ x"
107,環境	服務,,"攜程 x
的 uj
描述 v
是 v
錯誤 x
的 uj
， x
根本 a
不是 c
什麼 x
「 x
高級 x
商務酒店 x
」 x
， x
應該 x
是 v
和 c
莫泰 nr
168 m
一樣 x
的 uj
「 x
炮店 n
」 x
， x
整個 x
房間 x
是 v
紅色 x
基調 x
裝飾 x
， x
和 c
妓院 n
差不多 l
， x
床 n
的確 x
是 v
圓 n
的 uj
， x
晚上 t
竟然 d
有 v
蟑螂 n
， x
退房 v
時 zg
前台 n
搞不清 l
如何 r
將 d
預 v
授權 x
轉為 v
消費 x
， x
折騰 x
了 ul
很久 m
， x
期間 x
不停 d
的 uj
提出 v
要 v
用 p
現金結算 x
等 u
方案 n
， x
在 p
本人 r
的 uj
堅持 x
下 f
終於 x
消費 x
成功 a
， x
哎 e
， x
打死 v
都 d
不住 v
咯 o
！ x
！ x
！ x"
108,環境	服務	交通,,"地址 n
錯誤 x
環境 x
糟糕 a
服務 x
不 d
到位 v
有點 x
上當 x
的 uj
感覺 x"
109,環境	服務,,"預訂 x
是 v
攜程 x
小姐 nr
推薦 x
的 uj
， x
怎麼 x
說 zg
， x
一個 x
字 n
， x
爛 zg
， x
兩個 x
字 n
， x
真爛 a
， x
三個 x
字 n
， x
實在 x
爛 zg
。 x
典型 n
的 uj
政府 n
國營 x
單位 x
的 uj
痕跡 x
， x
根本 a
不 d
懂 v
什麼 x
叫 v
服務 x
， x
房間 x
既小 b
又 d
破 v
， x
三星 nz
都 d
勉強 x
。 x
花 n
400 m
多 m
買 v
了 ul
瓶 n
紅酒 x
， x
餿 a
的 uj
！ x"
111,環境,交通,"交通 n
方便 a
， x
周邊 x
也 d
熱鬧 x
， x
房間 x
小 a
在 p
香港 ns
那 r
是 v
自然 d
的 uj
了 ul
， x
總的說來 x
是 v
物有所值 l
了 ul
。 x"
113,,餐廳	服務,"前台 n
服務員 x
很 zg
熱情 x
, x
由於 x
工作 vn
關係 x
, x
本人 r
清晨 t
5 x
: x
00 m
離開 x
酒店 n
時 zg
, x
酒店 n
給 zg
客人 n
準備 x
了 ul
早點 x
心 n
, x
讓 x
客人 n
感到 v
十分 m
溫馨 x
和 c
體貼 x
. x"
115,環境	服務	交通,,"風格 x
就是 d
快捷酒店 n
， x
不過 x
服務 x
和 c
得到 v
的 uj
優秀 x
酒店 n
稱號 x
相差 v
好 a
遠 a
， x
我 r
住 v
的 uj
是 v
商務 x
大床 nz
房 n
， x
是 v
最靠 a
走廊 n
盡頭 x
的 uj
單人間 x
， x
房間 x
異味 x
很濃 x
， x
灰色 n
的 uj
沙發 x
很髒 x
， x
有 v
好幾個 x
破洞 n
， x
房內 x
的 uj
網線 x
是 v
鐵通 x
的 uj
， x
但 c
「 x
鐵定 x
不通 a
」 x
周圍 x
沒有 x
商店 n
， x
以後 x
不會 x
再 d
住 v
了 ul
。 x"
118,環境	服務	餐廳,,"該 x
酒店 n
是 v
攜程 x
所 c
介紹 x
的 uj
最差 a
的 uj
， x
早飯 x
很 d
差 a
， x
一大群 m
服務員 x
坐在 v
一旁 s
的 uj
挖 n
鼻屎 n
、 x
化妝 x
、 x
大聲 x
說話 x
， x
噁心 x
！ x
補充 x
點評 x
2006 m
年 m
11 m
月 m
6 m
日 m
： x
大 a
房間 x
裡 zg
沒有 x
小床 n
， x
設施 x
簡單 x
。 x"
119,,交通	服務,"技術 x
區裡 s
唯一 b
的 uj
四星級 x
酒店 n
, x
外觀 x
不起眼 l
, x
但 c
服務 x
感覺 x
很 zg
不錯 x
, x
尤其 d
? x"
120,環境	服務,,"在 p
當地 x
算是 v
比較 x
好 a
的 uj
酒店 n
， x
所以 c
每次 r
去 v
當地 x
出差 v
基本上 n
都 d
會 v
住 v
這家 x
酒店 n
。 x
酒店 n
服務 x
一般 a
， x
設施 x
不是 c
很 zg
理想 n
， x
如果 c
能夠 x
有 v
針對性 x
的 uj
進行 x
改進 x
會 zg
更好 d
。 x"
122,價格,交通,"上網 x
收費 x
太貴 x
, x
每天 r
40 m
元 m
. m
交通 n
還是 x
很 zg
便利 a
, x
離 zg
地鐵站 x
很 d
近 a
. m"
123,,服務,"第五次 m
為 zg
貴賓 x
客戶 x
入住 v
， x
值得 v
推薦 x
！ x
服務 x
沒話說 x
！ x"
124,服務,,"剛為 d
朋友 n
29 m
號 m
預定 x
的 uj
北方 f
擔心 x
過 zg
， x
不料 n
30 m
號 m
結房 n
時 n
， x
前台 n
問 v
我 r
朋友 n
房間 x
的 uj
有線電視 x
搖控器 x
不見 x
了 ul
， x
後來 x
在 p
我 r
強烈要求 x
下 f
， x
酒店 n
人員 x
可能 v
動用 x
百度 n
搜索 v
到 v
搖控器 x
， x
這 r
才 d
罷休 x
！ x
我 r
就 d
納悶 x
了 ul
： x
我 r
怎麼 x
就 d
這麼 x
倒霉 a
啊 zg
？ x
每次 r
預定 x
北方 f
都 d
會 v
有 v
麻煩 x
， x
我 r
想 v
這 r
不是 c
偶然 d
吧 y
， x
北方 f
的 uj
前台 n
服務 x
真的 d
有待 v
提高 v
。 x"
125,環境	交通,,"房間 x
小 a
， x
地點 x
差 a
， x
交通不便 l
， x
最 d
可惡 x
的 uj
是 v
變相 x
惡意 x
宰客 nr
。 x
建議 x
到 v
連雲港 x
千萬 x
不要 df
入住 v
該處 x
。 x
否則 x
後果 x
很 zg
嚴重 x
。 x"
126,價格,交通,"同 p
標準 x
的 uj
酒店 n
, x
價格 x
上 f
稍微 d
一點 x
貴 x
! x
整體 x
感覺 x
還 x
可以 c
, x
位置 v
很 zg
方便 a
, x
我們 x
公司 n
的 uj
人 n
每次 r
去 v
都 d
住 v
那 r
! x
自助餐 v
是 v
不錯 x
滴 v
! x
旁邊 x
的 uj
小吃 n
廣場 x
... m
可以 c
過過 v
讒 n
! x"
128,環境,,"不錯 x
的 uj
酒店 n
， x
就是 d
房間 x
較 d
小 a
了 ul
一點 x
， x
床 n
較硬 x
了 ul
點兒 x
， x
其它 r
都 d
還 d
不錯 x"
129,餐廳,,"中餐廳 x
絕對 x
不是 c
五星 nz
： x
晚 t
8 m
點 m
多 m
時 ng
去 v
的 uj
2 m
樓 n
中餐廳 x
， x
沒什麼 x
人 n
用餐 n
， x
餐廳 x
環境 x
猶如 x
一般 a
小店 n
， x
餐具 n
也 d
很 d
一般 a
， x
桌上 s
沒有 x
餐巾紙 x
， x
沒有 x
牙籤 x
。 x
上菜 n
也 d
慢 a
。 x"
130,環境	交通	價格,,"剛 d
從 p
九洲 ns
環宇 x
換到 x
這個 x
酒店 n
， x
感覺 x
差距 n
太 d
大 a
了 ul
， x
這裡 r
號稱 x
在 p
市中心 n
， x
但 c
周圍 x
除了 p
天寧寺 x
， x
沒 zg
別的 x
。 x
房間 x
有點 x
舊 a
了 ul
， x
老式 n
格局 n
， x
洗澡水 nz
很小 a
。 x
價錢 x
比 p
九洲 ns
環宇 x
要 v
高 a
30 m
% x
多 m
， x
覺得 x
非常 d
非常 d
不值 n
。 x
再也不會 x
選擇 x
這裡 r
了 ul
， x
除非 c
價錢 x
降到 v
200 m
以下 f
。 x"
131,,餐廳,"在 p
保定 v
, x
應該 x
說 v
是 v
最好 a
的 uj
酒店 n
了 ul
, x
那裡 r
的 uj
餐廳 x
給 zg
酒店 n
加 v
分 v
不少 d
. x"
132,餐廳	交通,環境,"差差 n
差 n
， x
房間 x
大 a
而 c
傢俱 x
太差 n
， x
有 v
早餐 n
而 c
早餐 n
質量 x
太差 n
， x
有 v
寬帶 x
而 c
網速 x
極差 x
， x
幾乎 x
等於零 x
。 x
環境 x
好 a
而 c
交通 n
太差 n
。 x"
133,服務,環境,"今天 t
是 v
6 m
月 m
27 m
日 m
， x
離 v
我 r
在 p
漢庭 n
快捷酒店 n
（ x
上海 ns
新 a
虹橋店 x
） x
住宿 n
2 m
月 m
有餘 x
（ x
我 r
與 p
4 m
月 m
12 m
日 m
入住 v
） x
， x
其它 r
的 uj
事 n
我 r
已 d
記不清 x
楚 nr
， x
但是 c
離店 n
結賬 x
產生 x
的 uj
麻煩 x
至今 d
困擾 x
我 r
， x
當日 x
， x
通過 x
攜程 x
訂 v
的 uj
是 v
2 m
間 f
246 m
元 m
的 uj
高級 x
大床 nz
房 n
， x
總價 x
是 v
492 m
元 m
。 x
當時 x
入住 v
辦手續 x
一切順利 x
， x
服務生 x
拿出 v
攜程 x
訂單 x
， x
打 v
單 n
刷卡 n
有條不紊 x
， x
我 r
拿單 x
簽字 x
， x
當然 x
我 r
注意 v
的 uj
是 v
刷卡 n
簽單 x
， x
預 zg
授權 x
800 m
元 m
， x
沒有 x
核 n
對 p
服務生 x
打出 v
的 uj
另外 c
的 uj
每張 x
單據 x
的 uj
每個 x
字符 n
， x
第二天 m
離店 n
結賬 x
， x
麻煩 x
來 v
了 ul
， x
再次 d
刷卡 n
簽單 x
時 zg
， x
我 r
發現 x
刷 v
了 ul
568 m
元 m
， x
我 r
拒絕 x
簽單 x
， x
與 p
我 r
的 uj
預訂 x
不同 a
， x
此時 x
服務生 x
拿出 v
我 r
昨天 t
的 uj
一把 m
簽單 x
講 zg
， x
我 r
住 v
的 uj
是 v
284 m
元 m
的 uj
高級 x
大床 nz
房 n
， x
暈 x
， x
忽悠 z
我 r
昨天 t
的 uj
不 a
細心 x
， x
昨天 t
沒有 x
任何 r
提示 v
， x
今天 t
要 v
我 r
買單 x
， x
我 r
與 p
服務生 x
理論 x
， x
最後 x
服務 x
主管 n
同意 d
按 p
492 m
元 m
結賬 x
， x
似乎 d
一切 r
都 d
已 d
結束 x
， x
然而 c
並未 x
如此 c
， x
服務生 x
給 p
我 r
的 uj
卡 n
刷 v
了 ul
2 m
次 t
， x
一次 m
是 v
492 m
元 m
， x
我 r
同意 d
簽單 x
給 p
他 r
， x
另 r
一張 x
568 m
元 m
， x
我 r
拒絕 x
簽字 x
， x
收回 v
單據 x
。 x
然而 c
， x
當 p
我 r
收到 v
銀行 x
的 uj
對 n
賬單 x
時 zg
， x
我 r
還是 x
發現 x
被 p
扣款 v
2 m
次 t
， x
我 r
致電 x
該 x
酒店 n
， x
答應 x
查詢 x
後 nr
給予 x
答覆 x
， x
至今 d
未 d
收到 v
任何 r
回 v
復 zg
， x
後 nr
與 p
銀行 x
方面 n
聯繫 x
， x
其中 r
我 r
多次 m
與 zg
銀行 x
聯繫 x
， x
銀行 x
終於 x
在 p
6 m
月 m
13 m
日 m
退回 v
492 m
元 m
（ x
估計 x
銀行 x
與 zg
該店 x
進行 x
了 ul
N eng
次 t
交涉 v
） x
， x
6 m
月 m
25 m
日 m
左右 m
， x
銀行 x
致電 x
我 r
講 v
退回 v
492 m
元 m
， x
我 r
核 n
對 p
後 nr
再次 d
將 d
此 r
情況 x
反映 v
給 zg
銀行 x
， x
應該 x
退回 v
568 m
元 m
， x
再次 d
講 v
了 ul
我 r
沒有 x
簽單 x
的 uj
賬單 x
還是 x
被 p
扣款 v
了 ul
， x
我 r
在 p
等待 v
著 n
銀行 x
交涉 v
之後 x
的 uj
結果 x
。 x
不知 v
這次 x
還要 x
等待 v
多長時間 x
- x
- x
- x
- x
- x
- x
- x
- x
- x
- x
- x
- x
- x
- x
- x
- x
- x
- x
- x
- x"
134,服務	價格,環境,"標準間 x
較大 x
， x
接站 n
服務 x
不錯 x
。 x
總台 n
服務 x
不太好 v
， x
退房 v
結帳 x
後 nr
， x
在 p
總台 n
打 v
一 m
市話 x
， x
告知 v
： x
需 v
2 m
角 n
！ x"
135,環境	服務,,"辦理 x
住房 n
登記 x
要 v
半小時 x
. x
整個 x
大堂 n
像 v
市場 x
亂哄哄 x
! x
房間 x
佈置 x
其 r
差 n
無比 x
! x"
136,,服務,"中銀 x
大廈 x
的 uj
前台 n
服務態度 x
非常 d
好 a
。 x
及時 x
幫 v
我 r
解決 x
了 ul
預定 x
問題 x
。 x
我 r
很 d
滿意 x
保定 v
市區 x
最好 a
的 uj
飯店 x
就是 d
中銀 x
了 ul
， x
四星 nz
標準 x
。 x
到 v
保定 v
， x
就 d
住 v
中銀 x
大廈 x
把 p
， x
也 d
沒有 x
其他 r
選擇 x
了 ul"
